Country,Year,Beginning Stocks,Arabica Production,Robusta Production,Other Production,Production,Bean Imports,Roast & Ground Imports,Soluble Imports,Imports,Total Supply,Bean Exports,Roast & Ground Exports,Soluble Exports,Exports,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Domestic Consumption,Ending Stocks,Total Distribution
Albania,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1990,186,20,80,0,100,0,0,0,0,286,80,0,0,80,45,0,45,161,286
Argentina,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1990,0,0,35,0,35,0,0,0,0,35,34,0,0,34,1,0,1,0,35
Bolivia,1990,94,190,0,0,190,0,0,0,0,284,85,0,0,85,45,0,45,154,284
Bosnia and Herzegovina,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1990,19533,26500,4500,0,31000,0,0,0,0,50533,17040,0,1800,18840,8600,400,9000,22693,50533
Burundi,1990,480,500,17,0,517,0,0,0,0,997,500,0,0,500,1,0,1,496,997
Cameroon,1990,417,230,1220,0,1450,80,0,5,85,1952,1853,25,0,1878,25,5,30,44,1952
Canada,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,1990,149,0,350,0,350,0,0,0,0,499,300,0,0,300,20,0,20,179,499
Chile,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,1990,5537,14500,0,0,14500,0,0,0,0,20037,11854,0,358,12212,1400,215,1615,6210,20037
Congo (Brazzaville),1990,4,0,25,0,25,0,0,0,0,29,25,0,0,25,1,0,1,3,29
Congo (Kinshasa),1990,565,295,1400,0,1695,0,0,0,0,2260,1800,0,0,1800,215,0,215,245,2260
Costa Rica,1990,984,2565,0,0,2565,0,0,0,0,3549,2325,0,0,2325,255,5,260,964,3549
Cote d'Ivoire,1990,4199,0,3300,0,3300,0,0,0,0,7499,3874,2,297,4173,19,17,36,3290,7499
Croatia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1990,176,480,0,0,480,15,0,0,15,671,225,0,0,225,250,0,250,196,671
Dominican Republic,1990,382,670,2,0,672,0,0,0,0,1054,480,4,0,484,307,0,307,263,1054
Ecuador,1990,327,950,880,0,1830,0,0,0,0,2157,1570,5,177,1752,237,56,293,112,2157
Egypt,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,1990,236,2603,0,0,2603,0,0,0,0,2839,1967,3,48,2018,165,15,180,641,2839
Equatorial Guinea,1990,6,0,15,0,15,0,0,0,0,21,10,0,0,10,6,0,6,5,21
Ethiopia,1990,1760,3500,0,0,3500,0,0,0,0,5260,1400,0,0,1400,1900,0,1900,1960,5260
European Union,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1990,1,0,37,0,37,0,0,0,0,38,38,0,0,38,0,0,0,0,38
Georgia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,1990,9,0,35,0,35,0,0,0,0,44,25,0,0,25,10,0,10,9,44
Guatemala,1990,62,3237,45,0,3282,0,0,0,0,3344,2764,1,0,2765,300,10,310,269,3344
Guinea,1990,11,0,125,0,125,0,0,0,0,136,120,0,0,120,6,0,6,10,136
Guyana,1990,0,0,5,0,5,0,0,0,0,5,0,0,0,0,5,0,5,0,5
Haiti,1990,12,580,0,0,580,0,0,0,0,592,190,0,0,190,220,0,220,182,592
Honduras,1990,100,1685,0,0,1685,0,0,0,0,1785,1490,0,0,1490,212,0,212,83,1785
India,1990,860,1540,1430,0,2970,0,0,0,0,3830,1250,0,86,1336,914,310,1224,1270,3830
Indonesia,1990,1489,435,7045,0,7480,1,1,0,2,8971,6919,0,1,6920,1260,35,1295,756,8971
Iran,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,1990,0,26,0,0,26,0,0,0,0,26,15,1,0,16,9,0,9,1,26
Japan,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,1990,1075,1453,2,0,1455,0,0,2,2,2532,1649,0,0,1649,20,2,22,861,2532
"Korea, South",1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,1990,0,0,110,0,110,0,0,0,0,110,109,0,0,109,1,0,1,0,110
Liberia,1990,0,0,30,0,30,0,0,0,0,30,0,0,0,0,30,0,30,0,30
Madagascar,1990,497,20,1080,0,1100,0,0,0,0,1597,684,0,0,684,300,0,300,613,1597
Malawi,1990,0,90,0,0,90,0,0,0,0,90,90,0,0,90,0,0,0,0,90
Malaysia,1990,25,0,5,70,75,110,5,10,125,225,12,1,2,15,200,0,200,10,225
Mexico,1990,613,4350,200,0,4550,0,0,0,0,5163,3460,40,10,3510,820,580,1400,253,5163
Montenegro,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,1990,0,5,0,0,5,0,0,0,0,5,0,0,0,0,5,0,5,0,5
New Zealand,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,1990,183,460,0,0,460,0,0,0,0,643,381,0,8,389,80,11,91,163,643
Nigeria,1990,13,0,90,0,90,1,21,47,69,172,2,0,0,2,167,0,167,3,172
North Macedonia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1990,48,182,0,0,182,0,0,0,0,230,130,0,0,130,63,0,63,37,230
Papua New Guinea,1990,199,934,30,0,964,0,0,7,7,1170,1014,0,0,1014,2,7,9,147,1170
Paraguay,1990,200,100,0,0,100,0,0,0,0,300,110,0,0,110,30,0,30,160,300
Peru,1990,150,1170,0,0,1170,0,0,20,20,1340,1048,0,0,1048,132,50,182,110,1340
Philippines,1990,1216,100,670,200,970,0,0,0,0,2186,108,0,6,114,90,720,810,1262,2186
Russia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,1990,44,619,0,0,619,0,0,0,0,663,645,0,0,645,1,0,1,17,663
Saudi Arabia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1990,0,0,100,0,100,0,0,0,0,100,95,0,0,95,5,0,5,0,100
Singapore,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1990,13,10,65,0,75,0,0,0,0,88,60,0,0,60,13,0,13,15,88
Switzerland,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,1990,503,553,210,0,763,0,0,0,0,1266,843,0,9,852,2,4,6,408,1266
Thailand,1990,61,50,735,0,785,0,0,0,0,846,646,0,0,646,160,0,160,40,846
Togo,1990,91,0,161,0,161,0,0,0,0,252,181,0,0,181,1,0,1,70,252
Trinidad and Tobago,1990,0,1,14,0,15,0,0,6,6,21,0,0,0,0,21,0,21,0,21
Turkey,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1990,53,180,2520,0,2700,0,0,0,0,2753,2300,0,0,2300,50,0,50,403,2753
Ukraine,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1990,0,229,0,0,229,0,0,0,0,229,0,0,0,0,229,0,229,0,229
Uruguay,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,1990,204,843,0,0,843,0,0,0,0,1047,140,0,0,140,850,0,850,57,1047
Vietnam,1990,181,0,1200,0,1200,0,0,0,0,1381,1042,0,0,1042,100,0,100,239,1381
Yemen,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen (Sanaa),1990,0,65,0,0,65,0,0,0,0,65,54,1,0,55,10,0,10,0,65
Zambia,1990,0,15,0,0,15,0,0,0,0,15,12,0,0,12,3,0,3,0,15
Zimbabwe,1990,64,208,0,0,208,0,0,0,0,272,230,0,0,230,10,0,10,32,272
Albania,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1991,161,20,60,0,80,0,0,0,0,241,74,0,0,74,51,0,51,116,241
Argentina,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1991,0,0,35,0,35,0,0,0,0,35,34,0,0,34,1,0,1,0,35
Bolivia,1991,154,200,0,0,200,0,0,0,0,354,83,0,0,83,30,0,30,241,354
Bosnia and Herzegovina,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1991,22693,24000,4500,0,28500,0,0,0,0,51193,20176,0,1695,21871,8600,400,9000,20322,51193
Burundi,1991,496,544,18,0,562,0,0,0,0,1058,762,0,0,762,2,0,2,294,1058
Cameroon,1991,44,290,1630,0,1920,0,0,5,5,1969,1736,25,0,1761,20,5,25,183,1969
Canada,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,1991,179,0,350,0,350,0,0,0,0,529,300,0,0,300,20,0,20,209,529
Chile,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,1991,6210,17980,0,0,17980,0,0,0,0,24190,15050,0,420,15470,1200,200,1400,7320,24190
Congo (Brazzaville),1991,3,0,25,0,25,0,0,0,0,28,25,0,0,25,1,0,1,2,28
Congo (Kinshasa),1991,245,200,1300,0,1500,0,0,0,0,1745,1360,0,0,1360,200,0,200,185,1745
Costa Rica,1991,964,2530,0,0,2530,0,0,0,0,3494,2275,0,0,2275,255,5,260,959,3494
Cote d'Ivoire,1991,3290,0,3967,0,3967,0,0,0,0,7257,2445,2,325,2772,20,18,38,4447,7257
Croatia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1991,196,450,0,0,450,15,0,0,15,661,159,0,0,159,213,0,213,289,661
Dominican Republic,1991,263,700,2,0,702,0,0,0,0,965,337,4,0,341,310,0,310,314,965
Ecuador,1991,112,900,800,0,1700,0,0,0,0,1812,1210,5,180,1395,240,58,298,119,1812
Egypt,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,1991,641,2357,0,0,2357,0,0,0,0,2998,2102,1,117,2220,169,15,184,594,2998
Equatorial Guinea,1991,5,0,15,0,15,0,0,0,0,20,5,0,0,5,11,0,11,4,20
Ethiopia,1991,1960,3000,0,0,3000,0,0,0,0,4960,2100,0,0,2100,1600,0,1600,1260,4960
European Union,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1991,0,0,25,0,25,0,0,0,0,25,2,0,0,2,23,0,23,0,25
Georgia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,1991,9,0,32,0,32,0,0,0,0,41,26,0,0,26,10,0,10,5,41
Guatemala,1991,269,3518,31,0,3549,0,0,0,0,3818,3242,1,0,3243,300,10,310,265,3818
Guinea,1991,10,0,125,0,125,0,0,0,0,135,66,0,0,66,25,0,25,44,135
Guyana,1991,0,0,5,0,5,0,0,0,0,5,0,0,0,0,5,0,5,0,5
Haiti,1991,182,550,0,0,550,0,0,0,0,732,133,0,0,133,330,0,330,269,732
Honduras,1991,83,2255,0,0,2255,0,0,0,0,2338,1800,0,0,1800,220,0,220,318,2338
India,1991,1270,1580,1620,0,3200,0,0,0,0,4470,1800,0,186,1986,794,325,1119,1365,4470
Indonesia,1991,756,435,6665,0,7100,38,1,0,39,7895,5597,0,3,5600,1514,36,1550,745,7895
Iran,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,1991,1,38,0,0,38,0,0,0,0,39,19,1,0,20,11,0,11,8,39
Japan,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,1991,861,1503,2,0,1505,0,0,2,2,2368,1390,0,0,1390,20,2,22,956,2368
"Korea, South",1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,1991,0,5,95,0,100,0,0,0,0,100,99,0,0,99,1,0,1,0,100
Liberia,1991,0,0,30,0,30,0,0,0,0,30,0,0,0,0,30,0,30,0,30
Madagascar,1991,613,20,1130,0,1150,0,0,0,0,1763,679,0,0,679,300,0,300,784,1763
Malawi,1991,0,90,0,0,90,0,0,0,0,90,90,0,0,90,0,0,0,0,90
Malaysia,1991,10,0,5,70,75,120,5,10,135,220,10,1,1,12,200,0,200,8,220
Mexico,1991,253,4470,150,0,4620,0,0,0,0,4873,3068,12,41,3121,840,610,1450,302,4873
Montenegro,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
