Date,Price,Open,High,Low,Vol.,Change %
12/01/2024,319.75,318.1,347.35,293.75,104.69K,0.53%
11/01/2024,318.05,245.55,335.45,240.8,547.35K,29.34%
10/01/2024,245.9,269.8,271.45,243.35,384.55K,-9.01%
09/01/2024,270.25,246.65,275.05,240,142.26K,8.88%
08/01/2024,248.2,229.18,259.45,221.08,0.02K,8.29%
07/01/2024,229.2,226.25,249.5,224.35,152.99K,0.11%
06/01/2024,228.95,221.15,239.8,215,294.16K,3.48%
05/01/2024,221.25,214.65,236.6,192.15,429.52K,2.12%
04/01/2024,216.65,187.5,245.4,186.75,700.75K,14.72%
03/01/2024,188.85,184.85,194.78,179.38,21.24K,-3.57%
02/01/2024,195.85,193.4,198.95,186,268.48K,0.93%
01/01/2024,194.05,188.65,197.45,175.55,420.63K,3.05%
12/01/2023,188.3,189.55,203.9,185.65,139.90K,-3.44%
11/01/2023,195,166,195.7,158.75,260.01K,16.56%
10/01/2023,167.3,146,169.05,143.7,503.88K,14.47%
09/01/2023,146.15,151.5,173.5,144.95,157.14K,-4.29%
08/01/2023,152.7,165.1,168.3,145.05,279.46K,-7.26%
07/01/2023,164.65,165.2,166,152.3,144.61K,2.27%
06/01/2023,161,179.65,196.6,162.1,258.94K,-9.88%
05/01/2023,178.65,188.25,196.55,175.55,173.88K,-5.90%
04/01/2023,189.85,171.3,207.45,171.25,250.59K,11.35%
03/01/2023,170.5,188,188,166.15,173.89K,-10.45%
02/01/2023,190.4,180.3,199.75,171.25,269.66K,4.76%
01/01/2023,181.75,166.45,182.8,142.05,481.02K,8.64%
12/01/2022,167.3,170,174.95,155,94.23K,-0.24%
11/01/2022,167.7,177.85,183.4,150.45,242.96K,-5.63%
10/01/2022,177.7,220.8,226.45,167.75,481.53K,-19.79%
09/01/2022,221.55,238.55,238.55,215.75,123.98K,-7.34%
08/01/2022,239.1,217.55,246.9,205.9,276.68K,10.08%
07/01/2022,217.2,232.85,232.85,204.2,129.74K,-7.02%
06/01/2022,233.6,232.05,242,218.9,284.70K,1.02%
05/01/2022,231.25,217.7,233.8,204.55,134.77K,3.91%
04/01/2022,222.55,226,237.75,214.65,266.05K,-1.70%
03/01/2022,226.4,236.95,236.95,211.3,118.61K,-3.35%
02/01/2022,234.25,235.75,260.45,233.95,316.81K,-0.36%
01/01/2022,235.1,226.15,245,220.55,377.81K,3.98%
12/01/2021,226.1,234,250.35,224,81.81K,-3.07%
11/01/2021,233.25,203.2,247.55,198.7,343.29K,14.37%
10/01/2021,203.95,194,215.15,191.3,405.15K,5.13%
09/01/2021,194,195.3,199.45,182.35,119.82K,0.28%
08/01/2021,193.45,179.35,196.5,171.6,327.09K,7.74%
07/01/2021,179.55,162.1,215.2,149.3,275.46K,12.68%
